Bore ID,Postcode,Suburb,Area,Latitude,Longitude,Temperature (C),EC (uS/cm),WaterQuantity(mAHD)
2090,3631,ARCADIA,SHEPPARTON IRRIGATION (GMU),-36.4095779,145.4600875,12.98 ,752.00 ,117.53 
2158,3634,BUNBARTHA,MID GOULBURN (GMU),-36.279637,145.3596809,17.88 ,425.00 ,107.25 
2682,3631,ARCADIA,GOULBURN-MURRAY,-36.40830668,145.5293715,20.69 ,628.00 ,122.21 
2913,3631,ARCADIA,GOULBURN-MURRAY,-36.5557924,145.3723145,13.15 ,284.00 ,120.68 
4003,3620,KYABRAM,SHEPPARTON IRRIGATION (GMU),-36.31152472,145.0230309,14.79 ,764.00 ,103.11 
4270,3564,CAMPASPE WEST,GOULBURN-MURRAY,-36.14028003,144.8505332,16.91 ,388.00 ,95.42 
5688,3561,BALLENDELLA,SHEPPARTON IRRIGATION (GMU),-36.33298173,144.6637795,18.59 ,485.00 ,113.17 
5710,3561,BALLENDELLA,SHEPPARTON IRRIGATION (GMU),-36.32942168,144.6661144,17.17 ,556.00 ,112.10 
6026,3533,BIMBOURIE,BIMBOURIE,-35.36141883,142.6521388,21.51 ,33677.25 ,76.49 
6032,3533,BIMBOURIE,BIMBOURIE,-35.36536823,142.7199084,20.94 ,520.00 ,63.94 
6033,3722,BARWITE,GRAMPIANS WIMMERA MALLEE,-35.21356474,143.0317568,23.10 ,56876.00 ,55.32 
6034,3722,BARWITE,POLISBET,-35.24418136,143.0887868,19.29 ,566.00 ,55.29 
6093,3546,BOLTON,EUREKA,-35.18750709,142.9964992,16.24 ,688.00 ,61.94 
6095,3724,MANSFIELD,GRAMPIANS WIMMERA MALLEE,-35.19859968,142.9098037,20.28 ,67291.00 ,57.90 
6096,3585,CASTLE DONNINGTON,GRAMPIANS WIMMERA MALLEE,-35.54342192,143.5470938,15.41 ,176.00 ,86.10 
6145,3740,BUCKLAND,GOULBURN-MURRAY,-35.43946773,143.7338662,18.50 ,45000.00 ,70.04 
6146,3740,BUCKLAND,GOULBURN-MURRAY,-35.43946539,143.7338542,18.50 ,40900.00 ,70.05 
6415,3673,BROKEN CREEK,BOIGBEAT,-35.48996954,142.9382646,14.66 ,132.00 ,53.15 
6436,3420,LILLIMUR,MACORNA,-35.88832506,144.1496915,20.71 ,721.00 ,80.77 
6518,3673,BROKEN CREEK,TYRRELL,-35.48282318,142.9459754,19.38 ,48632.50 ,50.42 
6519,3673,BROKEN CREEK,TYRRELL,-35.48282005,142.9457129,19.53 ,30393.00 ,50.19 
6520,3533,BIMBOURIE,BIMBOURIE,-35.36532824,142.7200705,21.84 ,75232.88 ,63.74 
6945,3740,BUCKLAND,KUNAT KUNAT,-35.53173895,143.624763,17.30 ,405.00 ,68.78 
6946,3740,BUCKLAND,KUNAT KUNAT,-35.53128695,143.624859,14.23 ,748.00 ,69.25 
6953,3583,TRESCO,KUNAT KUNAT,-35.50243621,143.5876541,15.86 ,525.00 ,75.74 
6954,3740,BUCKLAND,BOGA,-35.54321945,143.6765295,18.00 ,50000.00 ,73.16 
7932,3221,ANAKIE,Lower Murray Water,-34.1985716,141.1639737,21.78 ,66575.00 ,26.20 
7933,3221,ANAKIE,Lower Murray Water,-34.19858794,141.1639668,21.54 ,62550.00 ,26.25 
7934,3221,ANAKIE,Lower Murray Water,-34.2166587,141.1639613,13.22 ,567.00 ,68.52 
7938,3221,ANAKIE,Lower Murray Water,-34.24678413,141.1638619,23.09 ,50930.13 ,68.82 
23004,3424,ALBACUTYA,GOULBURN-MURRAY,-36.55755926,145.1535876,13.36 ,208.00 ,122.81 
23005,3610,DHURRINGILE,GOULBURN-MURRAY,-36.55777542,145.1953256,21.04 ,178.00 ,119.75 
23060,3612,MOORA,GOULBURN-MURRAY,-36.52713185,145.1513775,18.29 ,304.00 ,114.34 
26208,3713,EILDON,MANANGATANG,-35.04304909,142.7980363,21.08 ,79950.50 ,56.80 
26659,3251,BEEAC,SOUTHERN RURAL,-38.07327803,143.7221793,14.08 ,206.00 ,#N/A
26660,3251,BEEAC,SOUTHERN RURAL,-38.07090716,143.7262649,19.93 ,553.00 ,#N/A
26662,3352,ADDINGTON,SOUTHERN RURAL,-37.90086679,143.7013728,13.68 ,600.00 ,#N/A
26663,3352,ADDINGTON,SOUTHERN RURAL,-37.90118238,143.704892,18.35 ,145.00 ,#N/A
26680,3241,BAMBRA,SOUTHERN RURAL,-38.2087087,143.9586078,14.01 ,408.00 ,#N/A
26681,3241,BAMBRA,SOUTHERN RURAL,-38.19922292,143.9721855,15.90 ,551.00 ,76.21 
26682,3241,BAMBRA,SOUTHERN RURAL,-38.19923205,143.9721984,21.03 ,597.00 ,75.80 
26683,3241,BAMBRA,SOUTHERN RURAL,-38.18491509,143.974895,20.95 ,266.00 ,#N/A
26684,3241,BAMBRA,LAKE LAKE WOLLARD,-38.20319405,144.002619,14.12 ,525.00 ,#N/A
26833,3583,TRESCO,GOULBURN-MURRAY,-35.50178993,143.6952667,18.10 ,42054.00 ,72.10 
26838,3583,TRESCO,GOULBURN-MURRAY,-35.50181808,143.6952858,18.00 ,64700.00 ,71.71 
26839,3583,TRESCO,GOULBURN-MURRAY,-35.50180768,143.6952632,18.00 ,63700.00 ,71.70 
26855,3583,TRESCO,GOULBURN-MURRAY,-35.50181653,143.6952463,17.00 ,62300.00 ,71.72 
26938,3691,ALLANS FLAT,TERRAPPEE,-36.12022519,143.603568,15.59 ,585.00 ,112.41 
26940,3688,BARNAWARTHA,MARMAL,-36.07657268,143.5377322,20.99 ,220.00 ,103.71 
26941,3688,BARNAWARTHA,JERUK,-36.07686878,143.4367046,20.12 ,715.00 ,106.97 
26942,3682,BORALMA,JERUK,-36.0760283,143.3889352,19.61 ,725.00 ,105.81 
26943,3537,BARRAPORT,MARMAL,-36.00845405,143.5621687,13.60 ,606.00 ,99.76 
26944,3537,BARRAPORT,GREDGWIN,-36.01058588,143.6709522,18.78 ,411.00 ,102.10 
26945,3688,BARNAWARTHA,MARMAL,-36.07657322,143.5799226,16.98 ,194.00 ,101.74 
26989,3517,BEARS LAGOON,JANIEMBER WEST,-36.29981261,143.9246145,20.54 ,384.00 ,104.75 
26996,3518,BERRIMAL,BORUNG,-36.27729237,143.7534785,15.68 ,640.00 ,115.70 
26998,3685,BOORHAMAN NORTH,BUCKRABANYULE,-36.22196212,143.5668942,19.17 ,165.00 ,124.93 
26999,3685,BOORHAMAN NORTH,BUCKRABANYULE,-36.22196212,143.5668942,13.56 ,764.00 ,124.98 
27066,3975,LYNBROOK,MILDURA,-34.17998837,142.1044125,19.77 ,49629.86 ,40.02 
